8CfHS9ClgFfU4BgVy53ON5zE6yt2-1590015621, 0.417
L2bcFLFCWrYTy6HN3QJncSBoGIr2-1590015636, 0.207
sBfQ09gvtPevWrrGqFR9AALMsGY2-1590015612, 0.412
RdibUUlrkcORELa1G8plCkHvyOx1-1590015722, 0.613
6xn1mpBKlrcFWn7tC8UKtTwT8uv1-1590019201, 0.188
WNUwIX1pF5PUAp2GxTjwJmZVWF53-1590019203, 0.96
qybuiA6ESiZceJB655oJdR2RPhh2-1590019207, 1.0
27AeBm93qCb9VlcetD14VwUcDt73-1590019246, 0.852
zvuOjKTQftbcFK6fC2B6OU3rS3G3-1590019216, 0.316
9Y4itXV0slMkNTWKGp4CWfQQvHI2-1590022959, 0.364
A5B1dCeih7hzZpb24xnsO1lHwZs1-1590022828, 0.656
678KozXhNLY6WHiXQljwkepq3ly2-1590022807, 0.071
bnQFQnwzVxPK42A0pfOyl5q9qQE2-1590022900, 0.6
4tgvlhTf4mZkHQ2SmkO82sK14e83-1590022811, 0.25
VYTlqWtiibeLnMZ531GAf5VM70L2-1590026402, 0.08
EZFyIJD7ePM2tTuJNxrx3v2A8102-1590026409, 0.444
vJLrr6tOgxSPgL4tGPoWD34bDEi2-1590026406, 0.333
pdTIWepPgHOprA74Cik46H7TSph1-1590026403, 0.273
h8kXhsxbJmQ7Em1BL4eUoJXeSGc2-1590026409, 0.345
JGo8ZRENNrNKJF2drJ6DALLBmpn1-1590030104, 0.458
cZSQ7qKJcvgakFanBAt8hrxD1Fu1-1590030009, 0.643
eZ1fvLv5VjOSK6ey9gu1rHwb5oz1-1590030084, 0.333
8c18EekCxMXtY0jb6L5024PT3W73-1590030004, 0.261
sfmTggTATAMPCQ0BXqsZVXbfKlg2-1590030009, 0.444
3n6p4Cpx6xSVfXw7mqks0L6pURn1-1590033660, 0.071
4k4F4Fz2CJcKcFfMvlS9PhH90K73-1590033604, 0.4
suYOpzKfFLNsKrTLuwwraDhRDiN2-1590033617, 0.444
y4CicK1yVua7f055EFKcgerlA1I2-1590033602, 0.5
QGWUr53imLZRJF2kU7T9kd88uc22-1590033618, 0.286
URLYpGYyYmfhtF4SKx3UgkPWc5m2-1590037224, 0.125
6hwrop2BwQgPVeKrFsBZOSN9d822-1590037302, 0.1
bCeh6vjovpYIl7QxJzZ8IhVdCMs2-1590037276, 0.571
MIRbxIO3CgXoqlD5wu0D3YLCZOy2-1590037209, 0.31
bEA3NV9aCrMl3gFll1gED5JvZR43-1590037339, 0.357
NWiRGEBgcYPkGrGIjUW0kWFsug53-1590040811, 0.638
8S9NgJTlO5Qo2wdTsuMN7GjUTWf2-1590040805, 0.185
IBeKKpBzbhafxjxCeqmkUBrt6Rj1-1590040844, 0.312
5OlTST5QhHdZ5bB1TTuqjnZ43eq1-1590040840, 0.429
8TkBJp6OUnaiGegeBVrJI2aRTF12-1590040806, 0.333
vDKl3NoosVSBpYh7PqtzwsWFUI73-1590044449, 0.125
WIgR6StWpiTSD2GK39ifaf7Qvkw2-1590044405, 0.333
oytHesQQevO5wk5FJO1myNhkGLv2-1590044408, 0.067
m4rPeAIn70N1El7NIcjm3xxhvwd2-1590044561, 0.867
np1gNspzs9dFEhNlZatMvLhCY8e2-1590048004, 0.25
hcwUsqijn0bKbmjI4sZ4UCZMT2W2-1590048005, 0.417
SplaSVjyUIW2wLjLp6WQ1oBrTKy1-1590048116, 0.286
cMukMopnNBRJsT2wnWD0hhEGcyz2-1590051606, 0.278
nAdGxq3dBGgGe6edNb9FQsKUlOj2-1590055285, 0.429
fLkNwFqPc8XakYU6iflk9XK1kNh2-1590055207, 0.533
4hhdaJGA0HZRqk2BhADaUjATtOB2-1590055266, 0.148
iZwJzXEgWDab39pkPHrQxMEYvYx2-1590055208, 0.455
xo9FPWLf7ENRzZ2vMecgbwO9sIN2-1590058819, 0.0
3iTx4ORucdSYoKsuGPhhVJbAa342-1590062422, 0.889
w64O8V1RuLRnIwJuFVCWZVzreFi1-1589929200, 0.6
AbLABxlDPyc8E82hfvFmoq0gVJv2-1589929203, 0.2
49lLRJqAMjhpW3KYbaKqyt5mtFl2-1589932868, 0.438
ZZPJePUfRhTmy8dHrQt4LOoiDaB2-1589932878, 0.267
hpbE8A0sCBY9K5S32QTAZhHtr5I3-1589936401, 0.385
ZkPAPIicAeeWoTXTM9vm0KewlJk1-1589936550, 0.143
KdMeE2IxfRhj1QCzCRRvdT03hoy2-1589936487, 0.222
5wAGhqUKJLZ41YkDdcbS1NPdTis2-1589936414, 0.462
8vif8jCm2JbJxNtY0wSWxLD4koo2-1589940016, 0.538
WdQs3HNxHNPD5S7ODita9TFak7k2-1589940008, 0.474
IOkih34mHkR2jyp8yWOVGqPXgKQ2-1589940070, 0.24
9xK1djiKknZcUcbpf9Xj46I3Fhw2-1589943657, 0.353
lH0PTSG7LRXUfOje8t9JTxpr24h1-1589943651, 0.5
S23zMPxDRvZTCjiuTV65jzpEdwe2-1589943614, 0.19
oSHQIHeRiHYWKQ8W7D9Thhhyp8F3-1589947227, 0.467
FHjYLkVBnpOKtvcxM88RWEz3ssJ3-1589947265, 0.625
RHbj7tvTacbbwcx2XYcrx9jxWzq2-1589950812, 0.0
NFkr6SOwUWhZ68CYsLDJ3aTvpiG2-1589954418, 0.125
fnGtRByta9QLkqqHLUXwP3l53D93-1589958017, 0.6
WW6QvxBeNeWXXn1oEJVLo2JpSwo2-1589958003, 0.765
PAubN8Rf2OTDeoCGKYtzl9IHmwV2-1589961602, 0.462
xiZbsUzVFchTQgpMBM6reqLqonD2-1589961609, 0.133
puj9W11fAqOR6dN1vOC8dKzrGAf1-1589961601, 0.375
Mojf6ZYtohbYYYUxQT5Y45zG7VW2-1589961603, 0.417
u6KW7l9lhrT6kLFDsyZDSMre2KC3-1589965206, 0.846
D4n2W6ooN6hzoHahOQAwsxBMJHp2-1589968809, 0.4
ugS5HzlmzTcyCkBBANG5R1GIlaW2-1589968807, 0.692
xUBvW5XEH9h82ad7sylVE9vTV3u2-1589968808, 0.571
hFCvSgvcUafpQoYrJSPCDhwI4VN2-1589968801, 0.333
1z35JH69YbWc5NwBTVx108JJBsn2-1589972557, 0.4
xiaDjrYhhXV7MRpNhW8vCcvL77J3-1589842816, 0.385
zt3gbw8QpiQkELpIS9u5waBqjHy1-1589846427, 0.3
mgnDrkeVSxdhKwlVEgu5u6YYHOr1-1589868005, 0.607
SIdkojaYxtSl1qhKK3I6p8nVXJ02-1589875223, 0.564
zWIOAT1RyShF5C2JyUeIiMjMdzj1-1589882431, 0.333
sZhbKcmCNXhkGzGaXR47zGexxpn1-1589882450, 0.545
vs6bCHeifnSSvBS5y4FGFFPg0an2-1589886001, 0.722
HFd3BBoF95frI91I5AvBfpGA6s53-1589889601, 0.5
